DV,A,B,C,S,I
1046,2,1,1,17,70
661,1,2,2,17,59
480,1,1,2,17,11
511,1,2,2,17,41
430,2,1,2,17,3
509,2,2,2,17,13
517,1,1,2,17,57
877,2,1,2,17,112
624,1,1,1,17,34
582,1,1,1,17,117
498,2,1,2,17,31
510,2,2,2,17,38
577,2,1,1,17,53
505,2,1,1,17,19
697,1,2,2,17,25
527,2,1,2,17,18
776,1,2,2,17,67
496,1,1,2,17,37
522,1,2,1,17,86
480,1,2,1,17,101
442,2,1,1,17,79
414,2,1,1,17,29
408,1,2,2,17,17
435,1,2,1,17,45
660,1,1,1,17,60
543,1,2,1,17,65
677,1,2,1,17,115
794,1,1,2,17,93
595,2,2,1,17,88
523,2,2,1,17,116
622,2,2,2,17,104
679,2,1,1,17,71
547,2,1,2,17,12
536,1,2,2,17,43
406,2,1,2,17,22
513,2,1,2,17,39
713,1,1,1,17,52
526,1,1,1,17,32
487,1,1,1,17,92
614,2,2,2,17,27
694,2,2,1,17,91
494,1,1,2,17,21
827,2,2,2,17,2
566,2,1,2,17,114
550,2,2,1,17,16
469,2,2,1,17,36
468,1,1,2,17,68
783,1,2,2,17,55
628,2,1,1,17,74
597,2,2,1,17,72
978,1,2,1,17,23
502,2,1,1,17,81
608,1,2,1,17,106
965,2,2,2,17,35
577,1,1,1,17,107
666,1,2,1,17,103
625,1,1,2,17,83
559,1,2,2,17,73
782,2,2,1,17,95
418,1,1,2,17,56
520,2,2,1,17,84
515,1,1,1,17,108
858,2,2,1,17,49
566,1,2,1,17,30
514,1,1,1,17,87
796,1,1,2,17,113
1026,2,1,2,17,5
755,2,1,2,17,109
646,2,1,2,17,111
521,1,1,2,17,44
538,1,1,1,17,94
460,2,1,1,17,96
493,2,1,1,17,1
490,2,2,1,17,78
464,1,1,2,17,48
502,1,1,2,17,99
754,1,2,1,17,61
475,1,2,2,17,97
473,2,1,1,17,6
401,1,2,2,17,76
407,1,1,2,17,10
747,1,2,1,17,26
680,2,1,1,17,46
453,1,1,1,17,24
713,1,2,2,17,51
483,1,1,1,17,50
426,1,2,2,17,20
440,1,2,1,17,54
651,2,1,1,17,40
781,2,1,2,17,63
586,1,2,1,17,14
598,1,2,2,17,85
607,2,2,1,17,80
545,2,2,1,17,8
591,1,1,1,17,66
583,2,1,2,17,105
517,2,1,1,17,42
508,1,2,2,17,9
457,1,1,1,23,117
497,1,2,1,23,23
552,1,2,1,23,54
454,2,2,2,23,100
474,1,2,1,23,86
524,2,1,1,23,96
502,2,2,2,23,64
514,1,2,1,23,61
484,2,1,1,23,70
470,2,2,1,23,36
478,2,2,2,23,38
582,2,1,2,23,63
483,1,1,2,23,10
466,2,2,2,23,58
417,1,1,1,23,87
445,2,2,1,23,116
500,2,2,1,23,28
523,2,2,1,23,91
445,1,2,1,23,110
527,1,2,1,23,65
449,2,1,1,23,74
425,1,1,2,23,83
508,2,1,1,23,46
529,2,1,1,23,1
499,2,1,2,23,112
479,2,2,1,23,8
509,1,2,1,23,103
412,2,1,2,23,3
425,2,1,1,23,79
700,1,2,2,23,55
435,2,2,1,23,88
591,1,1,2,23,99
358,1,1,2,23,48
376,1,1,1,23,66
571,2,2,1,23,72
481,1,1,1,23,24
640,2,2,2,23,75
604,2,2,2,23,69
467,2,1,1,23,118
641,2,2,2,23,13
648,2,1,1,23,71
483,2,1,1,23,19
467,1,2,1,23,101
371,1,1,1,23,107
488,2,2,2,23,35
614,1,1,2,23,93
504,1,2,2,23,97
456,1,1,2,23,89
410,2,1,2,23,31
654,2,2,2,23,47
506,2,2,1,23,84
591,1,2,1,23,30
516,2,1,2,23,109
526,2,2,2,23,102
437,2,2,1,23,16
509,1,2,2,23,20
480,1,1,2,23,113
453,1,2,2,23,41
451,2,1,2,23,82
461,1,2,2,23,67
490,2,1,2,23,114
311,1,1,2,23,57
752,1,2,1,23,90
412,1,1,1,23,92
469,1,1,1,23,34
590,1,2,1,23,115
622,1,2,2,23,76
466,2,1,1,23,29
506,1,1,1,23,108
482,1,2,2,23,17
466,1,1,2,23,37
545,2,2,2,23,2
614,1,2,2,23,43
456,1,2,2,23,51
705,2,1,2,23,62
488,1,1,1,23,60
923,1,2,2,23,85
458,1,1,1,23,50
410,1,1,1,23,32
569,2,1,1,23,6
410,2,2,2,23,98
337,1,1,2,23,44
631,2,2,1,23,80
571,2,1,1,23,53
522,2,2,1,23,78
417,1,1,2,23,21
569,1,2,2,23,25
495,1,2,2,23,59
461,2,1,2,23,111
965,2,1,1,23,42
457,2,1,1,23,81
513,1,2,1,23,45
1249,2,2,2,23,104
459,1,1,2,23,56
469,2,1,2,23,12
