DV,A,B,C,S,I
363,1,1,1,22,101
658,2,2,2,22,82
1312,1,2,2,22,83
788,1,2,1,22,94
630,2,2,2,22,114
545,2,1,1,22,80
532,2,1,2,22,75
488,1,1,2,22,97
963,1,2,2,22,113
624,1,2,2,22,99
520,2,2,1,22,79
589,2,1,2,22,47
581,1,1,2,22,25
503,1,2,2,22,93
511,1,2,1,22,33
884,2,2,1,22,40
685,2,1,1,22,28
466,1,1,2,22,51
648,2,2,1,22,70
674,1,2,2,22,89
543,2,1,2,22,58
641,1,1,2,22,20
673,2,1,1,22,16
1439,1,1,1,22,86
592,1,2,1,22,87
725,2,2,1,22,74
718,2,1,2,22,13
546,2,1,1,22,78
987,2,1,2,22,35
648,1,2,2,22,21
559,2,1,1,22,84
660,1,1,2,22,67
537,2,2,2,22,12
616,2,1,1,22,116
817,2,1,2,24,69
435,1,1,2,24,43
488,1,2,1,24,87
491,2,2,1,24,46
394,1,1,1,24,86
425,1,1,1,24,65
394,1,2,1,24,32
516,1,1,2,24,25
596,2,1,1,24,116
587,1,1,2,24,51
458,1,1,2,24,41
1230,2,2,2,24,105
1572,2,1,2,24,35
685,2,1,1,24,78
652,2,1,2,24,75
596,2,1,2,24,2
529,2,1,2,24,104
462,1,1,2,24,20
538,1,2,2,24,113
734,2,2,1,24,81
464,2,1,1,24,16
1070,2,1,1,24,80
733,2,2,2,24,112
475,1,2,1,24,94
1092,2,1,1,24,95
687,2,1,1,24,77
492,1,2,2,24,21
582,2,2,2,24,22
523,2,1,1,24,84
511,1,1,1,24,110
552,1,1,1,24,103
571,1,2,1,24,50
486,1,1,1,24,45
515,1,2,2,24,10
491,2,2,1,24,79
536,2,2,1,24,19
558,1,2,1,24,66
532,1,2,1,24,92
418,1,1,2,24,9
379,1,1,1,24,54
581,2,2,2,24,62
437,2,2,2,24,3
476,1,2,2,24,56
527,1,1,2,24,59
437,1,1,1,24,14
417,1,1,2,24,97
463,1,2,1,24,33
764,2,2,2,24,109
812,2,1,1,24,91
542,1,2,2,24,48
535,2,2,1,24,42
470,2,2,2,24,12
502,1,1,2,24,73
504,2,2,1,24,74
1429,2,1,2,24,64
716,1,1,2,24,76
470,1,2,1,24,52
682,2,1,2,24,100
560,2,1,2,24,27
506,1,1,1,24,61
431,2,1,1,24,8
530,2,1,2,24,13
454,2,2,1,24,1
490,1,1,2,24,67
542,2,2,1,24,53
540,2,2,1,24,96
533,2,1,1,24,36
780,1,1,1,24,23
595,2,2,2,24,39
608,1,2,1,24,34
422,2,2,2,24,31
497,1,2,2,24,57
518,2,2,1,24,6
533,1,2,2,24,68
436,1,2,1,24,108
470,2,2,1,24,118
475,2,2,2,24,18
569,1,1,2,24,55
449,2,1,2,24,98
510,2,2,1,24,70
742,2,1,1,24,88
548,2,2,2,24,111
536,1,2,2,24,89
619,1,2,2,24,83
490,1,2,1,24,107
727,1,1,1,24,90
526,2,1,2,24,7
412,1,2,1,24,4
458,1,1,2,24,17
495,2,2,1,24,29
456,2,2,1,24,40
437,1,2,1,24,24
479,2,1,2,24,38
516,1,2,2,24,11
414,2,1,2,24,102
421,1,2,2,24,37
404,2,2,2,24,114
433,2,2,2,24,63
789,2,2,1,24,71
410,1,2,2,24,15
374,1,2,2,24,44
513,1,2,1,24,117
395,1,1,1,24,106
528,1,2,2,24,93
719,2,1,1,24,49
705,2,2,2,24,5
678,1,2,1,26,52
657,2,2,1,26,118
784,2,1,2,26,35
730,2,1,2,26,47
685,2,2,2,26,109
613,2,2,1,26,96
1001,2,1,2,26,27
627,1,1,2,26,76
645,1,2,2,26,56
678,2,2,2,26,111
564,2,2,1,26,70
553,1,2,1,26,60
734,1,2,1,26,33
709,2,2,2,26,39
684,2,2,2,26,12
594,1,1,1,26,110
633,2,1,1,26,78
404,1,1,1,26,103
694,2,1,2,26,98
831,1,1,1,26,90
810,1,1,1,26,23
652,1,1,2,26,41
667,1,2,1,26,34
1004,1,1,1,26,26
736,1,2,1,26,92
498,1,1,2,26,97
847,2,2,2,26,31
504,2,2,2,26,114
553,1,1,1,26,54
923,2,2,2,26,82
544,2,2,2,26,3
526,1,1,1,26,65
512,1,2,1,26,94
697,2,2,2,26,112
1119,2,2,2,26,22
781,2,2,1,26,6
934,2,1,1,26,49
517,2,1,1,26,8
687,1,2,2,26,93
735,2,1,1,26,28
746,2,1,1,26,80
577,2,1,2,26,7
537,2,2,1,26,81
715,2,2,2,26,105
725,2,1,2,26,58
526,1,1,2,26,9
561,1,2,2,26,83
563,1,2,1,26,107
529,2,2,2,26,62
569,1,2,2,26,68
563,1,2,1,26,50
788,1,2,1,26,24
509,2,1,2,26,102
570,2,2,1,26,74
634,1,1,1,26,30
796,2,1,2,26,2
470,2,2,1,26,46
513,1,2,1,26,117
524,1,2,2,26,57
525,1,2,1,26,4
484,1,1,1,26,106
448,1,1,2,26,20
966,2,1,2,26,64
655,2,2,2,26,18
603,1,1,2,26,73
534,1,2,2,26,37
547,2,2,1,26,19
709,2,1,2,26,100
749,2,2,1,26,53
467,1,1,1,26,101
648,2,1,1,26,116
632,2,2,1,26,1
534,1,2,2,26,15
522,1,2,2,26,89
516,2,1,2,26,38
575,1,2,1,26,108
507,1,2,1,26,32
515,1,2,2,26,48
658,2,1,1,26,84
756,1,1,2,26,55
647,2,2,1,26,29
537,2,2,1,26,79
604,2,1,1,26,16
468,1,1,1,26,45
564,1,1,1,26,86
727,2,1,1,26,77
635,1,2,2,26,99
643,2,1,2,26,75
550,2,1,1,26,36
475,2,1,2,26,13
702,1,2,2,26,113
669,1,2,1,26,66
650,2,1,1,26,88
445,1,2,2,26,11
567,1,1,1,26,115
473,1,1,2,26,43
420,1,1,2,26,25
557,2,1,1,26,91
430,1,2,2,26,44
464,1,1,1,26,14
731,2,2,2,26,63
529,2,1,1,26,95
548,1,2,2,26,10
510,2,1,2,26,69
450,1,1,2,26,59
423,1,1,2,26,17
799,1,2,1,26,87
500,1,2,2,26,21
548,2,2,1,26,42
873,2,2,2,26,5
409,1,1,2,26,67
1080,2,1,1,27,8
744,1,2,2,27,15
540,2,1,1,27,36
525,1,2,1,27,107
538,2,1,2,27,38
553,2,2,1,27,96
710,2,1,2,27,47
603,1,1,1,27,115
545,2,1,2,27,69
569,2,2,1,27,74
556,1,2,1,27,34
713,2,2,2,27,114
706,2,1,2,27,7
605,2,1,2,27,100
486,1,2,1,27,108
737,2,2,1,27,6
529,2,1,1,27,91
550,1,2,1,27,117
600,1,2,2,27,93
454,1,1,1,27,54
558,1,1,1,27,90
565,2,1,1,27,84
614,2,2,1,27,118
462,1,1,1,27,23
526,2,2,2,27,18
483,1,2,2,27,89
463,2,1,2,27,102
492,2,2,2,27,111
465,1,1,2,27,76
545,1,2,2,27,44
859,2,2,1,27,71
595,1,1,1,27,101
787,2,1,2,27,104
503,1,2,1,27,50
545,1,1,1,27,86
501,2,1,2,27,27
494,2,1,2,27,13
501,1,2,1,27,32
373,1,1,1,27,30
575,1,1,1,27,61
388,1,1,2,27,97
429,1,1,2,27,20
445,1,1,1,27,106
393,2,2,1,27,1
388,1,1,2,27,59
445,1,2,1,27,24
374,1,1,2,27,43
463,2,2,1,27,46
455,2,1,1,27,80
618,2,1,1,27,49
540,1,1,2,27,85
527,2,2,2,27,112
564,2,2,2,27,63
424,1,1,2,27,73
488,2,1,1,27,28
386,1,1,1,27,14
361,1,1,2,27,17
444,2,2,1,27,81
511,2,1,2,27,98
450,1,2,2,27,68
484,2,2,2,27,22
430,1,2,1,27,92
465,2,2,1,27,40
438,2,1,1,27,77
694,1,1,2,27,55
517,1,2,2,27,56
521,2,2,2,27,5
421,1,1,1,27,65
575,1,2,1,27,60
447,1,2,2,27,11
474,2,2,2,27,62
548,2,2,2,27,105
497,1,2,1,27,94
501,2,2,2,27,109
436,2,1,2,27,64
467,1,2,1,27,87
366,1,1,1,27,45
385,1,1,1,27,110
526,2,1,1,27,88
456,1,2,2,27,113
451,1,1,2,27,41
826,2,1,2,27,75
493,1,2,2,27,21
534,1,2,2,27,57
427,1,1,2,27,51
435,1,2,2,27,48
409,1,2,2,27,83
469,2,2,2,27,12
476,2,2,1,27,19
446,2,2,1,27,29
477,1,2,2,27,10
587,2,2,2,27,82
655,2,1,1,27,95
496,2,2,2,27,3
533,1,1,2,27,67
532,2,2,1,27,79
490,2,1,1,27,116
592,2,1,1,27,16
460,2,1,2,27,2
575,1,2,2,27,99
466,1,2,2,27,37
472,2,1,2,27,35
434,1,1,2,27,25
441,2,1,1,27,78
407,1,2,1,27,66
495,2,2,1,27,70
427,2,2,2,27,39
480,2,2,1,27,53
838,2,2,2,27,31
403,1,1,2,27,9
633,1,2,1,27,33
467,1,2,1,27,4
974,1,2,1,27,52
698,2,2,1,27,42
707,2,1,2,27,58
455,1,1,1,27,103
667,2,1,2,28,58
480,1,2,1,28,117
421,1,1,1,28,110
530,2,2,2,28,112
644,2,1,1,28,8
659,2,2,1,28,96
510,1,2,2,28,56
495,2,1,1,28,91
459,2,2,1,28,29
403,2,1,2,28,38
459,2,2,1,28,70
351,1,1,2,28,17
406,1,1,1,28,106
475,2,1,2,28,2
620,1,2,1,28,108
474,1,2,2,28,21
705,2,1,1,28,88
764,1,1,2,28,55
550,1,2,1,28,33
453,1,2,2,28,48
835,2,1,2,28,47
718,2,1,1,28,116
461,1,1,1,28,65
483,2,2,1,28,53
481,1,2,1,28,4
608,2,2,2,28,111
489,2,2,1,28,74
728,2,2,2,28,63
719,1,2,1,28,50
475,1,2,2,28,93
467,2,1,2,28,102
1028,2,1,1,28,77
446,1,2,1,28,32
1408,2,2,2,28,5
590,1,2,2,28,89
408,1,1,1,28,54
918,2,2,1,28,46
747,2,1,2,28,27
425,2,2,2,28,39
441,2,1,1,28,36
424,2,2,1,28,42
551,2,1,1,28,78
485,1,1,1,28,86
609,2,2,2,28,114
1050,2,2,1,28,79
464,1,2,1,28,24
463,2,1,2,28,69
738,1,2,2,28,99
506,2,2,1,28,81
496,2,2,2,28,62
456,1,1,2,28,76
631,1,1,2,28,25
555,1,1,1,28,45
854,1,2,2,28,37
937,2,2,2,28,82
627,2,2,1,28,19
905,1,2,2,28,57
541,1,2,2,28,83
568,1,2,1,28,60
527,1,2,2,28,68
410,1,1,1,28,23
591,1,1,1,28,30
806,1,1,1,28,14
576,2,1,1,28,84
596,1,1,2,28,97
558,2,1,1,28,80
556,1,2,2,28,10
621,2,2,1,28,71
870,2,2,2,28,105
478,2,1,2,28,13
823,2,1,1,28,16
420,1,1,2,28,9
725,1,2,2,28,113
696,1,2,1,28,94
589,1,2,2,28,44
526,1,1,1,28,61
400,1,1,2,28,20
635,1,1,1,28,90
673,2,1,1,28,95
662,2,2,2,28,109
538,1,2,1,28,34
457,2,2,2,28,3
443,1,1,2,28,67
526,2,2,1,28,1
416,1,2,1,28,92
537,2,1,2,28,100
469,1,2,2,28,15
471,2,2,2,28,31
490,1,1,1,28,103
456,1,1,2,28,43
966,1,1,1,28,101
540,1,1,2,28,51
709,2,2,2,28,12
864,1,2,1,28,87
802,2,1,1,28,49
442,1,1,2,28,59
462,1,1,2,28,41
472,1,2,1,28,107
505,2,1,2,28,64
698,2,1,2,28,75
545,2,2,2,28,18
504,2,1,2,28,7
471,2,1,2,28,98
507,2,2,1,28,40
455,1,2,1,28,66
1145,2,1,1,28,28
840,1,1,2,29,59
1259,1,1,1,29,54
906,2,2,2,29,39
771,2,2,1,29,40
802,1,2,1,29,66
1202,1,2,2,29,99
578,1,1,2,29,97
1201,1,1,2,29,85
1067,1,1,2,29,55
940,2,1,1,29,8
1239,2,2,2,29,18
1024,1,1,1,29,101
816,2,1,2,29,104
1165,1,1,1,29,26
1022,1,2,2,29,68
791,1,2,2,29,56
1168,2,2,1,29,1
1878,2,2,1,29,71
883,2,2,2,29,31
681,1,1,1,29,23
1175,1,2,2,29,93
701,2,2,2,29,3
619,1,1,2,29,73
1259,2,2,1,29,79
1270,2,1,1,29,72
1254,2,2,2,29,109
933,1,1,1,29,86
604,2,2,2,29,112
632,2,1,2,29,2
643,1,2,1,29,4
684,1,2,1,29,117
967,1,2,1,29,50
666,2,2,1,29,74
676,2,1,1,29,36
1961,1,1,2,29,41
867,1,1,2,29,9
747,2,1,2,29,38
997,2,2,1,29,53
1201,2,1,1,29,91
749,1,1,2,29,43
745,2,2,2,29,82
1531,1,1,1,29,61
636,1,2,1,29,92
849,1,1,1,29,106
750,1,2,1,29,94
700,2,1,2,29,100
1161,2,1,2,29,69
730,2,1,1,29,78
622,2,2,1,29,70
586,2,1,2,29,98
858,1,2,2,29,57
1000,1,2,2,29,113
944,1,1,2,29,67
1033,2,1,1,29,116
1826,2,2,2,29,12
1192,2,2,1,29,96
732,2,1,2,29,75
1920,1,1,2,29,17
815,2,1,1,29,88
1921,1,1,2,29,25
720,2,1,2,29,58
1059,2,1,2,29,64
570,1,1,1,29,30
1522,1,2,1,29,52
1049,2,2,2,29,22
775,1,2,1,29,32
802,2,1,1,29,77
1848,1,1,1,29,45
1869,2,1,2,29,13
859,2,2,1,29,29
1818,1,1,1,29,110
742,1,2,2,29,48
728,2,2,1,29,46
1614,1,1,2,29,20
784,1,2,2,29,11
980,1,1,2,29,51
877,2,1,2,29,27
902,1,2,2,29,44
1021,1,1,1,29,14
1038,2,1,1,29,80
1076,2,1,1,29,95
938,1,1,2,29,76
935,1,1,1,29,65
1326,1,2,1,29,87
1667,1,1,1,29,103
1102,1,2,1,29,33
982,2,1,2,29,7
887,2,2,2,29,63
783,2,2,2,29,114
1331,1,2,1,29,108
546,2,2,1,29,81
829,2,2,2,29,105
926,1,2,2,29,89
517,2,1,2,8,15
516,1,1,2,8,22
504,2,1,2,8,44
555,1,2,1,8,36
668,2,1,2,8,68
491,1,1,2,8,109
574,2,2,1,8,86
634,1,2,2,8,2
643,2,1,2,8,99
430,1,1,1,8,40
870,2,1,2,8,113
506,1,2,1,8,78
554,2,2,2,8,20
649,2,2,1,8,14
589,2,2,1,8,103
533,2,2,2,8,9
448,2,1,1,8,50
517,2,2,2,8,97
458,1,2,1,8,8
539,2,1,1,8,117
458,1,1,1,8,74
447,1,1,1,8,1
427,2,2,1,8,106
507,2,2,1,8,30
487,1,1,1,8,96
509,2,2,1,8,23
873,2,1,1,8,87
546,1,1,2,8,112
554,1,2,1,8,95
526,2,2,1,8,45
598,2,1,2,8,37
457,2,1,2,8,89
437,1,1,2,8,31
614,1,2,2,8,102
678,1,1,2,8,62
549,2,1,1,8,24
428,1,1,2,8,105
512,1,2,2,8,98
507,2,2,2,8,43
528,1,2,1,8,84
474,1,1,2,8,3
489,2,1,1,8,108
431,1,1,1,8,29
910,1,1,1,8,53
547,1,2,1,8,16
815,1,1,1,8,6
660,2,2,1,8,61
511,1,1,2,8,18
466,1,2,2,8,13
689,1,2,2,8,104
516,1,1,2,8,82
463,2,1,1,8,94
459,1,1,1,8,70
575,2,2,2,8,55
688,2,1,1,8,33
515,2,2,1,8,54
538,2,2,2,8,41
602,2,1,1,8,34
510,2,1,1,8,107
659,1,2,1,8,91
498,2,1,1,8,60
814,2,2,2,8,73
558,1,2,2,8,75
536,2,1,1,8,92
618,2,2,2,8,25
469,1,1,2,8,114
488,2,1,1,8,4
480,1,2,2,8,27
521,2,1,1,8,66
570,2,1,2,8,93
501,1,2,2,8,38
507,2,1,2,8,56
450,1,1,1,8,46
559,1,2,1,8,80
551,1,2,2,8,7
538,1,1,2,8,63
526,1,2,1,8,77
494,1,2,1,8,28
527,2,1,1,8,32
465,1,1,1,8,42
537,2,2,1,8,65
417,1,1,1,8,79
419,1,1,1,8,81
494,2,1,2,8,48
491,2,2,2,8,76
804,2,2,2,8,59
517,2,1,2,8,10
621,2,2,1,8,101
443,2,1,2,8,21
481,2,1,2,8,57
522,1,1,1,8,19
543,1,1,1,8,118
518,2,2,1,8,110
546,1,2,2,8,69
456,1,1,2,8,111
487,1,1,1,8,71
785,1,2,1,8,88
438,1,1,2,8,39
435,1,1,2,8,12
517,1,2,1,8,116
557,2,2,2,8,51
830,1,2,2,12,13
547,2,1,1,12,117
819,1,1,2,12,105
419,1,1,1,12,118
741,1,2,2,12,104
474,1,2,1,12,91
694,2,2,2,12,41
686,1,2,2,12,7
546,2,1,2,12,89
564,2,1,1,12,94
580,2,2,1,12,23
609,1,1,1,12,71
601,2,2,2,12,67
762,2,1,2,12,37
412,1,1,1,12,29
410,1,1,1,12,96
761,2,1,2,12,56
707,1,1,1,12,53
1150,1,1,1,12,6
1016,2,2,1,12,26
773,1,1,1,12,1
870,1,1,2,12,109
720,2,2,1,12,103
484,2,1,2,12,10
546,1,1,2,12,62
592,2,1,2,12,83
642,2,1,1,12,87
1041,1,2,1,12,95
564,1,2,1,12,116
542,2,2,1,12,30
626,1,1,1,12,74
522,2,1,1,12,4
863,1,2,2,12,58
547,1,1,2,12,18
631,1,2,2,12,75
643,1,1,1,12,40
551,1,2,1,12,16
471,2,1,1,12,34
487,1,2,1,12,78
535,1,1,2,12,3
503,1,2,2,12,98
696,2,2,2,12,59
1059,2,2,2,12,85
511,1,2,2,12,64
573,2,1,1,12,66
522,2,1,1,12,50
547,2,2,1,12,101
530,2,2,2,12,20
689,1,1,2,12,111
658,2,1,2,12,68
489,2,2,1,12,106
516,1,1,1,12,81
525,1,2,1,12,36
583,2,2,2,12,55
515,1,2,2,12,27
639,1,2,2,12,47
566,2,1,1,12,92
513,1,2,1,12,8
611,1,2,1,12,84
620,1,2,2,12,102
748,2,2,2,12,76
605,2,2,1,12,45
661,2,2,2,12,43
383,1,1,2,12,39
583,1,1,1,12,70
637,2,2,1,12,54
650,2,1,1,12,107
635,1,1,2,12,82
537,2,2,2,12,25
912,1,2,1,12,28
738,1,2,2,12,100
538,2,1,1,12,33
525,2,1,2,12,44
525,2,2,2,12,51
596,1,2,1,12,88
819,1,2,1,12,49
574,1,2,1,12,80
558,2,1,2,12,93
368,1,1,1,12,79
739,2,2,1,12,65
531,2,1,2,12,57
515,1,1,2,12,63
507,1,2,1,12,77
476,1,1,2,12,12
695,2,1,1,12,60
538,2,1,2,12,21
464,1,1,1,12,42
626,1,1,1,12,19
616,2,1,1,12,108
547,1,2,2,12,38
603,1,1,2,12,114
492,1,1,2,12,31
595,2,1,1,12,24
651,2,1,1,12,32
864,2,2,1,12,90
1276,2,2,2,12,73
529,1,2,2,12,69
629,2,2,1,12,86
578,2,1,2,12,15
590,2,1,2,12,11
579,2,2,2,12,9
409,1,1,2,12,112
505,2,2,1,12,110
604,2,1,2,12,99
560,2,1,2,12,48
502,1,1,2,12,5
670,1,2,2,12,2
542,2,1,2,12,113
505,2,2,2,12,97
528,1,1,1,12,46
646,2,1,1,13,107
822,1,2,2,13,2
496,2,2,1,13,110
743,2,2,1,13,86
744,2,2,1,13,65
692,2,1,1,13,4
526,2,2,2,13,41
809,1,2,2,13,35
621,2,1,2,13,21
604,2,1,2,13,68
573,1,1,1,13,29
605,1,2,1,13,84
707,2,2,2,13,25
640,1,2,1,13,8
1068,1,2,2,13,58
516,1,1,2,13,39
594,1,1,2,13,114
515,1,1,1,13,42
478,1,1,2,13,5
657,1,2,1,13,16
535,1,2,1,13,77
476,1,1,2,13,12
761,1,2,1,13,28
489,1,2,2,13,75
560,1,1,1,13,53
607,2,1,1,13,87
541,2,1,1,13,34
518,2,2,2,13,73
572,1,2,2,13,98
592,2,1,2,13,89
432,1,1,1,13,46
720,2,2,2,13,20
607,2,1,2,13,57
705,2,1,1,13,50
532,2,1,1,13,108
563,1,1,2,13,31
1040,1,2,2,13,47
985,1,1,2,13,105
663,2,2,1,13,23
631,1,1,2,13,18
668,1,1,2,13,112
818,1,1,2,13,3
563,1,1,1,13,79
716,2,2,2,13,9
492,2,2,1,13,101
549,1,1,1,13,1
642,1,1,1,13,118
650,1,2,1,13,91
883,1,1,1,13,19
753,2,2,2,13,43
442,1,2,2,13,27
500,1,2,2,13,102
1168,2,2,2,13,85
648,1,1,2,13,82
447,2,1,2,13,48
674,2,2,1,13,54
684,1,2,1,13,80
602,1,2,2,13,69
1084,1,1,2,13,111
558,2,2,2,13,51
716,2,2,1,13,103
1128,2,1,2,13,83
857,1,2,2,13,100
533,2,1,2,13,113
812,1,1,1,13,70
566,2,2,1,13,30
500,2,1,1,13,92
679,2,1,2,13,56
734,1,1,1,13,74
1035,2,1,2,13,99
718,1,2,1,13,116
1376,2,1,2,13,11
803,2,2,1,13,106
683,1,2,2,13,13
764,1,1,1,13,96
409,1,2,1,13,78
419,2,1,1,13,66
833,2,2,2,13,67
508,2,1,2,13,10
638,1,2,1,13,95
729,1,2,2,13,38
525,1,2,1,13,36
819,1,1,2,13,63
486,2,2,2,13,97
1599,1,2,2,13,64
967,2,1,2,13,37
698,2,1,1,13,32
721,2,1,2,13,15
1416,2,2,2,13,59
910,1,2,2,13,7
542,2,1,1,13,117
480,2,1,1,13,94
684,1,1,1,13,81
836,2,2,1,13,90
439,1,1,2,13,109
547,2,1,1,13,24
822,1,2,1,13,88
621,2,1,2,13,93
766,1,1,2,13,22
1475,1,1,2,13,62
622,2,1,1,13,33
577,1,1,1,13,40
558,2,1,1,13,60
618,2,2,1,13,14
775,2,2,1,13,45
637,2,1,2,13,44
530,2,1,2,2,15
488,2,1,2,2,99
452,1,1,1,2,40
508,2,1,1,2,24
576,1,2,1,2,36
536,2,2,1,2,115
563,2,2,1,2,86
506,2,1,2,2,89
507,2,2,1,2,30
478,1,1,2,2,111
497,1,1,1,2,53
408,1,1,2,2,12
494,2,1,2,2,10
492,2,1,2,2,44
592,1,1,1,2,6
738,2,2,2,2,67
545,2,1,1,2,66
532,2,1,2,2,48
532,2,1,1,2,34
648,1,2,2,2,47
557,1,2,1,2,72
525,1,2,1,2,77
606,2,2,1,2,23
511,1,1,1,2,74
617,1,1,2,2,62
571,2,2,1,2,14
464,1,2,2,2,100
462,1,2,2,2,27
618,2,2,2,2,41
496,2,1,1,2,94
819,1,2,1,2,8
653,1,1,2,2,105
808,2,2,2,2,76
585,2,1,1,2,108
576,2,2,2,2,20
588,2,1,2,2,68
607,1,2,1,2,28
531,1,1,2,2,22
495,1,2,1,2,16
418,1,1,2,2,82
515,1,1,1,2,46
520,2,1,1,2,33
507,1,1,2,2,109
563,2,2,2,2,51
705,2,1,1,2,52
628,2,2,1,2,101
597,2,2,1,2,45
682,1,1,2,2,31
596,2,2,1,2,54
620,1,2,2,2,13
739,2,1,2,2,83
543,2,1,2,2,11
557,2,1,1,2,107
543,2,2,2,2,43
504,2,1,2,2,113
1005,2,2,2,2,85
618,2,2,2,2,97
573,1,1,2,2,18
517,1,2,2,2,69
892,2,2,2,2,55
466,1,1,2,2,114
490,1,2,1,2,91
689,2,2,2,2,73
551,2,2,2,2,25
405,1,1,1,2,79
601,1,2,1,2,80
514,1,1,2,2,112
610,1,2,2,2,35
570,1,2,2,2,7
1118,1,2,2,2,58
606,2,1,1,2,32
509,1,1,2,2,3
656,2,1,1,2,60
384,1,1,1,2,70
496,2,2,1,2,110
394,2,1,2,2,37
396,2,2,2,2,59
619,1,2,1,2,95
504,2,2,1,2,103
416,1,1,2,2,39
600,1,2,1,2,84
605,1,1,1,2,71
1267,2,1,1,2,92
561,2,2,2,2,9
522,2,2,1,2,26
678,2,1,2,2,93
986,1,2,1,2,88
629,1,2,2,2,104
614,1,2,2,2,98
669,2,1,1,2,117
633,2,1,2,2,57
681,1,1,2,2,63
590,2,2,2,2,17
573,1,2,1,2,78
504,1,1,1,2,19
579,1,1,1,2,96
694,2,1,1,2,87
565,1,2,2,2,64
1796,1,2,1,2,49
1278,1,1,1,2,42
598,2,1,1,2,4
571,2,2,1,2,90
701,2,2,1,2,61
596,2,2,1,2,65
925,1,1,2,2,5
520,1,2,1,2,116
539,2,2,1,2,106
610,1,1,1,2,118
520,1,2,2,2,102
536,1,2,2,2,2
568,1,1,1,2,1
638,1,1,1,2,29
483,1,2,2,2,38
778,1,2,2,2,75
632,2,1,2,2,56
956,2,1,1,2,50
591,1,1,1,2,81
550,2,1,2,2,21
622,1,1,2,16,62
554,1,2,1,16,77
439,1,2,2,16,100
895,1,2,2,16,47
657,2,2,1,16,23
585,2,2,1,16,106
455,1,1,2,16,12
490,2,1,1,16,50
545,2,1,1,16,108
487,1,1,1,16,71
450,1,1,2,16,111
493,1,2,1,16,95
469,1,1,1,16,118
669,2,2,1,16,90
695,1,2,1,16,72
520,1,1,2,16,31
458,1,1,2,16,63
485,2,1,2,16,56
525,2,1,2,16,10
492,1,1,1,16,1
716,1,1,1,16,96
479,2,1,2,16,57
516,2,2,2,16,25
520,1,1,1,16,46
524,2,2,2,16,41
477,1,1,1,16,81
640,2,2,2,16,20
457,1,1,2,16,114
536,2,1,1,16,24
456,2,2,1,16,65
452,2,1,1,16,94
636,2,1,2,16,83
632,2,2,2,16,55
554,2,2,1,16,101
555,2,2,2,16,73
461,2,1,2,16,68
448,1,1,2,16,105
516,1,2,1,16,36
543,1,2,1,16,84
551,1,2,2,16,75
572,1,2,1,16,78
1433,1,1,1,16,6
636,1,2,1,16,28
579,2,1,1,16,87
796,1,2,1,16,91
522,1,1,2,16,18
914,2,2,1,16,61
560,2,2,1,16,14
452,1,1,1,16,19
469,2,2,1,16,54
738,2,1,2,16,113
666,2,2,1,16,45
470,2,1,1,16,4
478,2,1,1,16,107
561,2,1,2,16,99
620,1,2,1,16,8
483,2,2,1,16,30
583,1,2,2,16,27
483,2,1,2,16,37
508,2,1,2,16,11
753,2,2,2,16,67
600,1,2,2,16,2
736,2,1,1,16,92
606,1,1,1,16,53
693,2,1,2,16,93
454,2,2,2,16,76
467,1,2,2,16,13
428,2,1,2,16,21
395,1,1,1,16,40
499,2,1,1,16,60
552,2,1,1,16,117
486,2,2,2,16,97
553,2,1,2,16,48
474,1,1,1,16,70
420,1,2,2,16,69
616,1,2,2,16,7
405,1,1,1,16,74
537,2,2,1,16,110
533,1,1,2,16,3
1039,2,2,2,16,85
461,2,2,2,16,43
546,2,2,2,16,51
623,2,2,2,16,59
370,1,1,1,16,29
464,1,2,2,16,38
417,1,1,2,16,109
565,1,2,1,16,16
498,2,1,2,16,15
466,1,1,1,16,79
434,2,1,1,16,33
373,1,1,1,16,42
479,2,2,2,16,9
589,2,2,1,16,86
487,1,1,2,16,112
448,2,1,2,16,44
872,1,2,2,16,104
720,1,2,1,16,80
806,1,2,1,16,116
561,1,2,2,16,64
588,1,2,1,16,88
805,1,2,1,16,49
1082,2,1,1,16,32
1146,2,2,1,16,103
745,2,1,1,16,52
438,1,1,2,16,82
407,1,1,2,16,39
737,2,1,2,16,89
784,1,1,2,16,5
742,2,2,1,16,115
485,2,1,1,16,66
603,1,2,2,16,58
439,2,1,1,16,34
600,1,2,2,16,102
622,1,1,2,16,22
520,1,2,2,16,98
719,2,2,1,19,90
642,1,1,1,19,40
839,1,1,2,19,62
630,1,1,2,19,114
502,2,1,2,19,21
986,1,1,2,19,5
458,1,1,1,19,79
673,2,1,1,19,34
938,1,2,2,19,75
631,1,1,2,19,31
558,2,1,1,19,94
548,1,2,1,19,78
588,1,2,2,19,13
491,1,2,2,19,98
1273,2,2,2,19,67
595,2,2,2,19,43
745,1,2,2,19,58
593,2,2,1,19,23
563,1,2,1,19,84
499,1,1,1,19,96
673,2,2,2,19,25
448,1,1,2,19,3
665,2,2,1,19,54
553,2,1,2,19,10
507,2,1,1,19,33
783,2,2,2,19,59
616,1,2,1,19,8
1471,2,1,1,19,24
448,2,1,2,19,48
530,1,2,1,19,16
528,1,1,1,19,81
494,1,1,2,19,112
431,1,1,1,19,70
650,2,1,2,19,99
789,2,2,1,19,115
668,1,1,1,19,6
521,1,2,1,19,77
529,2,1,2,19,15
582,2,2,1,19,110
952,2,2,1,19,45
467,1,2,2,19,102
422,2,1,2,19,44
476,2,1,1,19,4
